block_key	block_id	chrom	start	end	length_bp	n_positions	n_variant_alleles	n_scored	n_missing_avi	avi_max	avi_top10_mean	avi_top1_count	avi_top1_fraction	avi_top1_per_kb	avi_top1_mean	avi_mean	chr	block	block_length	n_haplotypes	n_clusters	max_cluster_size	singleton_count	dominance	shannon_entropy
chr10:100064214-100292616	chr10_100064214_100292616	chr10	100064214.0	100292616.0	228402.0	228402.0	685206.0	685206.0	0.0	80.3862	59.993797	17441.0	0.025453659	76.360978	25.532427	5.799657	chr10	chr10_100064214-100292616	228402	5096	1684	911	1338	0.178768	7.53698
chr10:100292616-100331167	chr10_100292616_100331167	chr10	100292616.0	100331167.0	38551.0	38551.0	115653.0	115653.0	0.0	51.00456	46.420568	3746.0	0.032389994	97.169983	24.493213	5.5803453	chr10	chr10_100292616-100331167	38551	5096	315	3615	193	0.70938	2.48101
chr10:100331167-100356257	chr10_100331167_100356257	chr10	100331167.0	100356257.0	25090.0	25090.0	75270.0	75270.0	0.0	50.89934	45.866211	1819.0	0.024166335	72.499004	24.723696	5.8340443	chr10	chr10_100331167-100356257	25090	5096	3	2600	0	0.510204	1.0043
chr10:100356257-100394253	chr10_100356257_100394253	chr10	100356257.0	100394253.0	37996.0	37996.0	113988.0	113988.0	0.0	53.38524	46.640985	1412.0	0.012387269	37.161807	24.457817	5.4041192	chr10	chr10_100356257-100394253	37996	5096	165	2903	107	0.569662	2.61847
chr10:100394253-100601786	chr10_100394253_100601786	chr10	100394253.0	100601786.0	207533.0	207533.0	622599.0	622599.0	0.0	70.10621	57.683581	14808.0	0.023784169	71.352508	24.484352	5.2640481	chr10	chr10_100394253-100601786	207533	5096	1535	987	1185	0.193681	7.44785
chr10:10039556-10117755	chr10_10039556_10117755	chr10	10039556.0	10117755.0	78199.0	78199.0	234597.0	234597.0	0.0	25.97704	24.995394	375.0	0.0015984859	4.7954577	21.29968	3.6786288	chr10	chr10_10039556-10117755	78199	5096	551	1138	372	0.223312	4.75941
chr10:100601786-100630753	chr10_100601786_100630753	chr10	100601786.0	100630753.0	28967.0	28967.0	86901.0	86901.0	0.0	25.01811	23.718996	2434.0	0.028008884	84.026651	21.195669	5.1555181	chr10	chr10_100601786-100630753	28967	5096	156	4411	98	0.865581	1.1881
chr10:100630753-100709723	chr10_100630753_100709723	chr10	100630753.0	100709723.0	78970.0	78970.0	236910.0	236910.0	0.0	26.12606	25.751697	7175.0	0.030285763	90.857288	21.3538	5.4252267	chr10	chr10_100630753-100709723	78970	5096	729	1998	504	0.392072	4.87423
chr10:100709723-100748106	chr10_100709723_100748106	chr10	100709723.0	100748106.0	38383.0	38383.0	115149.0	115149.0	0.0	38.21065	32.47847	4366.0	0.037916091	113.74827	21.56817	6.6525655	chr10	chr10_100709723-100748106	38383	5096	11	2777	2	0.544937	1.48477
chr10:100748106-100796471	chr10_100748106_100796471	chr10	100748106.0	100796471.0	48365.0	48365.0	145095.0	145095.0	0.0	54.40649	49.13332	5828.0	0.040166787	120.50036	23.000966	6.9194475	chr10	chr10_100748106-100796471	48365	5096	94	3771	48	0.739992	1.79715
