block_id	recomb_rate_cm_per_mb	avi_top1_fraction	eqtl_variants_per_kb	shannon_entropy
chr1_1583825_1958353	0.925078	0.032367851	2.8382	4.42781
chr1_1958353_1993042	5.01005	0.017873101	4.843	5.11333
chr1_1993042_2040432	5.42175	0.024344095	3.0175	1.12661
chr1_2040432_2101817	2.74752	0.0083027884	3.6328	2.83769
chr1_2101817_2288174	0.894641	0.0157243	2.2913	1.65262
chr1_2288174_2323195	2.58412	0.028620923	2.4557	0.657755
chr1_2323195_2370170	5.51739	0.0058896576	5.322	3.20715
chr1_2370170_2393442	4.98132	0.027343302	2.1915	1.65153
chr1_2393442_2415085	3.94273	0.045357236	2.6336	1.75044
chr1_2415085_2436793	6.9722	0.0079540569	3.7313	4.31759
chr1_2436793_2472868	3.63092	0.0077523678	3.2155	3.41776
chr1_2472868_2536231	1.90335	0.074912278	2.0043	2.84389
chr1_2536231_2805011	0.148121	0.015236463	1.8156	4.32675
chr1_2805011_2836672	1.43208	0.0028952549	3.2216	1.77157
chr1_2836672_2864428	1.62554	0.0038189941	2.2698	1.11457
chr1_2864428_2888245	2.79107	0.0072217324	1.5535	3.69418
chr1_2888245_2919344	1.89624	0.0035799651	0.6753	3.34374
chr1_2919344_2980520	3.39654	0.0048875376	0.7192	6.08704
chr1_2980520_3018282	1.53603	0.0042194093	0.8209	2.80197
chr1_3018282_3081749	0.817903	0.015304541	0.7248	2.51586
chr1_3081749_3095810	5.9905	0.0038641159	1.0668	4.15084
chr1_3095810_3141097	4.34563	0.013182591	0.9053	6.12436
chr1_3141097_3145931	8.50907	0.014894497	0.6206	1.72099
chr1_3145931_3183071	2.87936	0.0092532759	0.727	3.61586
chr1_3183071_3200824	9.70639	0.02440902	0.2816	1.91195
chr1_3200824_3233411	2.69326	0.013686439	1.0434	3.4286
chr1_3233411_3294894	4.2594	0.013223167	0.6831	5.43202
chr1_3294894_3321237	1.28522	0.010958003	2.6193	4.71301
chr1_3321237_3356213	7.78568	0.0091396005	0.2001	8.31216
chr1_3356213_3377658	5.03905	0.0057511463	0.1865	2.41141
chr1_3377658_3403912	1.71438	0.011401437	1.8283	3.1128
chr1_3403912_3416119	7.27268	0.090685672	2.2938	2.6875
chr1_3416119_3435977	10.3076	0.040437103	1.7625	1.50551
chr1_3435977_3488732	1.95212	0.025059236	3.2224	6.41172
chr1_3488732_3542633	1.99317	0.044223051	1.6697	2.84175
chr1_3542633_3569559	5.07088	0.0052613335	1.4856	4.39516
chr1_3569559_3597419	8.03463	0.0051088777	1.1486	8.57487
chr1_3597419_3658462	3.35102	0.028548182	3.6368	4.85114
chr1_3658462_3666645	18.8121	0.0032587885	4.3994	1.80014
chr1_3666645_3687362	7.29578	0.010313591	1.9308	5.33559
chr1_3687362_3716816	4.01736	0.017564111	1.6636	2.26592
chr1_3716816_3764165	3.3271	0.031700775	2.999	6.24172
chr1_3764165_3816032	1.02132	0.026548673	4.6272	4.00011
chr1_3816032_3867334	2.43763	0.033280054	6.452	1.9258
chr1_3867334_3881836	1.8394	0.015055395	8.3437	4.58189
chr1_3881836_3918389	0.868079	0.012611824	3.4197	2.17369
chr1_3918389_3942706	4.30686	0.00068539156	2.1384	9.31317
chr1_3942706_3950282	18.6572	0.0038718761	5.8078	5.02508
chr1_3950282_3995220	3.66047	0.00068242171	0.178	1.09023
chr1_3995220_4046591	3.11036	0.00016870738	0.1557	3.10288
chr1_4046591_4093147	3.0272	0.00095225821	0.0859	4.99667
chr1_4093147_4120746	4.29	9.6621858e-05	0.1087	2.11205
chr1_4120746_4174752	1.00693	0.00078386352	0.2592	2.5821
chr1_4174752_4226801	2.23252	0.00016010554	0.2498	0.457074
chr1_4226801_4236223	5.92134	0.00042453831	0.4245	1.17571
chr1_4236223_4307920	4.16086	0.00019991538	0.4603	3.58409
chr1_4307920_4320284	14.9854	0.00010783997	0.0	2.22168
chr1_4320284_4359937	2.55498	0.00045393791	2.3201	3.46172
chr1_4359937_4454029	1.0054	0.00061996061	1.4135	4.93306
chr1_4454029_4480984	2.91273	0.00022259321	0.0742	2.53753
chr1_4480984_4509635	2.17832	0.00046537061	0.2792	3.2582
chr1_4509635_4535091	0.992214	0.0001309449	0.3928	2.23055
chr1_4535091_4580842	2.76963	0.00078686805	1.6393	4.09651
chr1_4580842_4614369	2.51403	0.0013322596	2.1773	0.582028
chr1_4614369_4652381	2.52727	0.0010873759	0.2105	4.53505
chr1_4652381_4673288	2.44316	0.01320132	1.7697	1.86825
