block_id	chrom	observed_top1	observed_total	avi_top1_count	unconditional_ratio	conditional_ratio	eqtl_variant_count	eqtl_variants_per_kb
chr1_1583825_1958353	chr1	163	10228	36368	0.00448196	0.49236	1063	2.8382
chr1_1958353_1993042	chr1	17	1474	1860	0.00913978	0.645285	168	4.843
chr1_1993042_2040432	chr1	14	1669	3461	0.00404507	0.34457	143	3.0175
chr1_2040432_2101817	chr1	7	2453	1529	0.00457816	0.343698	223	3.6328
chr1_2101817_2288174	chr1	39	6501	8791	0.00443636	0.381516	427	2.2913
chr1_2288174_2323195	chr1	21	1320	3007	0.0069837	0.555855	86	2.4557
chr1_2323195_2370170	chr1	18	1775	830	0.0216867	1.72181	250	5.322
chr1_2370170_2393442	chr1	23	862	1909	0.0120482	0.97582	51	2.1915
chr1_2393442_2415085	chr1	18	789	2945	0.00611205	0.502978	57	2.6336
chr1_2415085_2436793	chr1	3	874	518	0.00579151	0.43154	81	3.7313
chr1_2436793_2472868	chr1	1	1271	839	0.0011919	0.101489	116	3.2155
chr1_2472868_2536231	chr1	87	2452	14240	0.00610955	0.473637	127	2.0043
chr1_2536231_2805011	chr1	71	4376	10297	0.00689521	1.06487	488	1.8156
chr1_2805011_2836672	chr1	2	1310	275	0.00727273	0.527317	102	3.2216
chr1_2836672_2864428	chr1	3	971	318	0.00943396	0.809008	63	2.2698
chr1_2864428_2888245	chr1	7	953	516	0.0135659	1.0171	37	1.5535
chr1_2888245_2919344	chr1	3	1364	334	0.00898204	0.614367	21	0.6753
chr1_2919344_2980520	chr1	6	2358	897	0.00668896	0.520616	44	0.7192
chr1_2980520_3018282	chr1	6	1485	478	0.0125523	0.957576	31	0.8209
chr1_3018282_3081749	chr1	21	2130	2914	0.00720659	0.644198	46	0.7248
chr1_3081749_3095810	chr1	3	548	163	0.0184049	1.41674	15	1.0668
chr1_3095810_3141097	chr1	11	1776	1791	0.00614182	0.469839	41	0.9053
chr1_3141097_3145931	chr1	3	210	216	0.0138889	0.959127	3	0.6206
chr1_3145931_3183071	chr1	8	1323	1031	0.00775946	0.653484	27	0.727
chr1_3183071_3200824	chr1	12	714	1300	0.00923077	0.688546	5	0.2816
chr1_3200824_3233411	chr1	9	1272	1338	0.00672646	0.516969	34	1.0434
chr1_3233411_3294894	chr1	13	2154	2439	0.00533005	0.456417	42	0.6831
chr1_3294894_3321237	chr1	3	947	866	0.0034642	0.289095	69	2.6193
chr1_3321237_3356213	chr1	7	1223	959	0.00729927	0.626245	7	0.2001
chr1_3356213_3377658	chr1	7	768	370	0.0189189	1.58483	4	0.1865
chr1_3377658_3403912	chr1	9	904	898	0.0100223	0.873202	48	1.8283
chr1_3403912_3416119	chr1	23	576	3321	0.00692562	0.440318	28	2.2938
chr1_3416119_3435977	chr1	16	788	2409	0.00664176	0.502127	35	1.7625
chr1_3435977_3488732	chr1	48	1891	3966	0.0121029	1.01294	170	3.2224
chr1_3488732_3542633	chr1	46	2098	7151	0.00643267	0.495797	90	1.6697
chr1_3542633_3569559	chr1	6	1067	425	0.0141176	1.06879	40	1.4856
chr1_3569559_3597419	chr1	4	1085	427	0.00936768	0.721614	32	1.1486
