block_id	chrom	start	end	length_bp	eqtl_variant_count	eqtl_pair_count	eqtl_gene_count	eqtl_tissue_count	eqtl_variants_per_kb
chr1_1583825_1958353	chr1	1583825	1958353	374528	1063	5668	87	49	2.8382
chr1_1958353_1993042	chr1	1958353	1993042	34689	168	672	34	39	4.843
chr1_1993042_2040432	chr1	1993042	2040432	47390	143	323	30	32	3.0175
chr1_2040432_2101817	chr1	2040432	2101817	61385	223	553	37	33	3.6328
chr1_2101817_2288174	chr1	2101817	2288174	186357	427	1334	50	45	2.2913
chr1_2288174_2323195	chr1	2288174	2323195	35021	86	185	27	29	2.4557
chr1_2323195_2370170	chr1	2323195	2370170	46975	250	735	25	45	5.322
chr1_2370170_2393442	chr1	2370170	2393442	23272	51	157	12	31	2.1915
chr1_2393442_2415085	chr1	2393442	2415085	21643	57	124	14	36	2.6336
chr1_2415085_2436793	chr1	2415085	2436793	21708	81	155	17	25	3.7313
chr1_2436793_2472868	chr1	2436793	2472868	36075	116	146	15	23	3.2155
chr1_2472868_2536231	chr1	2472868	2536231	63363	127	745	19	38	2.0043
chr1_2536231_2805011	chr1	2536231	2805011	268780	488	2589	26	42	1.8156
chr1_2805011_2836672	chr1	2805011	2836672	31661	102	264	20	34	3.2216
chr1_2836672_2864428	chr1	2836672	2864428	27756	63	355	15	23	2.2698
chr1_2864428_2888245	chr1	2864428	2888245	23817	37	51	14	20	1.5535
chr1_2888245_2919344	chr1	2888245	2919344	31099	21	21	7	8	0.6753
chr1_2919344_2980520	chr1	2919344	2980520	61176	44	54	16	18	0.7192
chr1_2980520_3018282	chr1	2980520	3018282	37762	31	31	12	14	0.8209
chr1_3018282_3081749	chr1	3018282	3081749	63467	46	48	13	18	0.7248
chr1_3081749_3095810	chr1	3081749	3095810	14061	15	25	7	5	1.0668
chr1_3095810_3141097	chr1	3095810	3141097	45287	41	52	8	11	0.9053
chr1_3141097_3145931	chr1	3141097	3145931	4834	3	4	4	4	0.6206
chr1_3145931_3183071	chr1	3145931	3183071	37140	27	29	13	9	0.727
chr1_3183071_3200824	chr1	3183071	3200824	17753	5	9	7	9	0.2816
chr1_3200824_3233411	chr1	3200824	3233411	32587	34	35	7	7	1.0434
chr1_3233411_3294894	chr1	3233411	3294894	61483	42	45	9	13	0.6831
chr1_3294894_3321237	chr1	3294894	3321237	26343	69	71	8	9	2.6193
chr1_3321237_3356213	chr1	3321237	3356213	34976	7	7	3	3	0.2001
chr1_3356213_3377658	chr1	3356213	3377658	21445	4	8	6	7	0.1865
chr1_3377658_3403912	chr1	3377658	3403912	26254	48	58	11	14	1.8283
chr1_3403912_3416119	chr1	3403912	3416119	12207	28	28	5	10	2.2938
chr1_3416119_3435977	chr1	3416119	3435977	19858	35	39	9	14	1.7625
chr1_3435977_3488732	chr1	3435977	3488732	52755	170	260	11	23	3.2224
chr1_3488732_3542633	chr1	3488732	3542633	53901	90	116	8	24	1.6697
chr1_3542633_3569559	chr1	3542633	3569559	26926	40	50	6	13	1.4856
chr1_3569559_3597419	chr1	3569559	3597419	27860	32	44	8	19	1.1486
chr1_3597419_3658462	chr1	3597419	3658462	61043	222	432	14	42	3.6368
chr1_3658462_3666645	chr1	3658462	3666645	8183	36	48	4	34	4.3994
chr1_3666645_3687362	chr1	3666645	3687362	20717	40	44	2	6	1.9308
chr1_3687362_3716816	chr1	3687362	3716816	29454	49	52	6	20	1.6636
chr1_3716816_3764165	chr1	3716816	3764165	47349	142	206	9	31	2.999
chr1_3764165_3816032	chr1	3764165	3816032	51867	240	865	13	45	4.6272
chr1_3816032_3867334	chr1	3816032	3867334	51302	331	1245	12	43	6.452
chr1_3867334_3881836	chr1	3867334	3881836	14502	121	268	9	47	8.3437
chr1_3881836_3918389	chr1	3881836	3918389	36553	125	308	8	48	3.4197
chr1_3918389_3942706	chr1	3918389	3942706	24317	52	97	7	26	2.1384
chr1_3942706_3950282	chr1	3942706	3950282	7576	44	71	3	7	5.8078
chr1_3950282_3995220	chr1	3950282	3995220	44938	8	9	5	5	0.178
chr1_3995220_4046591	chr1	3995220	4046591	51371	8	9	2	2	0.1557
chr1_4046591_4093147	chr1	4046591	4093147	46556	4	4	1	1	0.0859
chr1_4093147_4120746	chr1	4093147	4120746	27599	3	3	3	3	0.1087
chr1_4120746_4174752	chr1	4120746	4174752	54006	14	14	6	7	0.2592
chr1_4174752_4226801	chr1	4174752	4226801	52049	13	13	5	5	0.2498
chr1_4226801_4236223	chr1	4226801	4236223	9422	4	4	3	3	0.4245
chr1_4236223_4307920	chr1	4236223	4307920	71697	33	35	7	12	0.4603
chr1_4307920_4320284	chr1	4307920	4320284	12364	0	0	0	0	0.0
chr1_4320284_4359937	chr1	4320284	4359937	39653	92	92	2	7	2.3201
chr1_4359937_4454029	chr1	4359937	4454029	94092	133	137	6	7	1.4135
chr1_4454029_4480984	chr1	4454029	4480984	26955	2	2	2	2	0.0742
chr1_4480984_4509635	chr1	4480984	4509635	28651	8	8	2	3	0.2792
chr1_4509635_4535091	chr1	4509635	4535091	25456	10	10	3	3	0.3928
chr1_4535091_4580842	chr1	4535091	4580842	45751	75	82	4	4	1.6393
chr1_4580842_4614369	chr1	4580842	4614369	33527	73	74	3	6	2.1773
chr1_4614369_4652381	chr1	4614369	4652381	38012	8	8	3	5	0.2105
chr1_4652381_4673288	chr1	4652381	4673288	20907	37	37	3	5	1.7697
chr1_4673288_4691841	chr1	4673288	4691841	18553	3	3	2	2	0.1617
chr1_4691841_4711993	chr1	4691841	4711993	20152	1	1	1	1	0.0496
chr1_4711993_4736498	chr1	4711993	4736498	24505	9	9	1	1	0.3673
chr1_4736498_4755417	chr1	4736498	4755417	18919	41	41	1	4	2.1671
chr1_4755417_4793850	chr1	4755417	4793850	38433	68	68	2	3	1.7693
chr1_4793850_4840415	chr1	4793850	4840415	46565	1	1	1	1	0.0215
chr1_4840415_4881350	chr1	4840415	4881350	40935	3	3	1	1	0.0733
chr1_4881350_4920299	chr1	4881350	4920299	38949	1	1	1	1	0.0257
chr1_4920299_4942008	chr1	4920299	4942008	21709	10	10	1	1	0.4606
chr1_4942008_4959493	chr1	4942008	4959493	17485	0	0	0	0	0.0
chr1_4959493_4978033	chr1	4959493	4978033	18540	11	11	1	3	0.5933
chr1_4978033_5030937	chr1	4978033	5030937	52904	14	14	1	2	0.2646
chr1_5030937_5076783	chr1	5030937	5076783	45846	0	0	0	0	0.0
chr1_5076783_5082492	chr1	5076783	5082492	5709	2	2	1	1	0.3503
chr1_5082492_5162536	chr1	5082492	5162536	80044	3	3	2	2	0.0375
chr1_5162536_5200350	chr1	5162536	5200350	37814	2	2	2	2	0.0529
chr1_5200350_5251254	chr1	5200350	5251254	50904	4	4	3	4	0.0786
chr1_5251254_5287567	chr1	5251254	5287567	36313	7	7	3	4	0.1928
chr1_5287567_5297013	chr1	5287567	5297013	9446	0	0	0	0	0.0
chr1_5297013_5343525	chr1	5297013	5343525	46512	4	4	3	3	0.086
chr1_5343525_5411457	chr1	5343525	5411457	67932	37	37	5	6	0.5447
chr1_5411457_5479850	chr1	5411457	5479850	68393	10	10	3	7	0.1462
chr1_5479850_5514835	chr1	5479850	5514835	34985	14	14	3	3	0.4002
chr1_5514835_5571302	chr1	5514835	5571302	56467	18	18	5	5	0.3188
chr1_5571302_5599527	chr1	5571302	5599527	28225	9	10	4	3	0.3189
chr1_5599527_5618723	chr1	5599527	5618723	19196	8	8	3	3	0.4168
chr1_5618723_5629550	chr1	5618723	5629550	10827	12	12	1	1	1.1083
chr1_5629550_5649168	chr1	5629550	5649168	19618	9	9	4	4	0.4588
chr1_5649168_5684903	chr1	5649168	5684903	35735	17	19	9	10	0.4757
chr1_5684903_5725512	chr1	5684903	5725512	40609	22	22	8	10	0.5418
chr1_5725512_5745545	chr1	5725512	5745545	20033	1	1	1	1	0.0499
chr1_5745545_5780200	chr1	5745545	5780200	34655	31	35	10	12	0.8945
chr1_5780200_5841621	chr1	5780200	5841621	61421	83	102	15	18	1.3513
chr1_5841621_5854228	chr1	5841621	5854228	12607	22	22	2	12	1.7451
chr1_5854228_6003595	chr1	5854228	6003595	149367	437	758	9	46	2.9257
chr1_6003595_6040795	chr1	6003595	6040795	37200	76	127	4	32	2.043
chr1_6040795_6084675	chr1	6040795	6084675	43880	68	80	11	29	1.5497
chr1_6084675_6137354	chr1	6084675	6137354	52679	36	43	13	20	0.6834
chr1_6137354_6159303	chr1	6137354	6159303	21949	32	44	10	19	1.4579
chr1_6159303_6198732	chr1	6159303	6198732	39429	108	131	13	36	2.7391
chr1_6198732_6268780	chr1	6198732	6268780	70048	195	552	15	46	2.7838
chr1_6268780_6363444	chr1	6268780	6363444	94664	325	1152	17	32	3.4332
chr1_6363444_6441736	chr1	6363444	6441736	78292	268	1045	16	29	3.4231
chr1_6441736_6502103	chr1	6441736	6502103	60367	153	469	15	27	2.5345
chr1_6502103_6580056	chr1	6502103	6580056	77953	239	909	18	31	3.0659
chr1_6580056_6734025	chr1	6580056	6734025	153969	312	898	17	34	2.0264
chr1_6734025_6916308	chr1	6734025	6916308	182283	352	607	16	23	1.9311
chr1_6916308_6976742	chr1	6916308	6976742	60434	90	103	10	16	1.4892
chr1_6976742_7046903	chr1	6976742	7046903	70161	26	26	5	9	0.3706
chr1_7046903_7069445	chr1	7046903	7069445	22542	12	12	5	8	0.5323
chr1_7069445_7109719	chr1	7069445	7109719	40274	8	9	4	7	0.1986
chr1_7109719_7187141	chr1	7109719	7187141	77422	39	39	10	11	0.5037
chr1_7187141_7264899	chr1	7187141	7264899	77758	46	59	15	18	0.5916
chr1_7264899_7303439	chr1	7264899	7303439	38540	2	2	1	2	0.0519
chr1_7303439_7351991	chr1	7303439	7351991	48552	48	57	11	10	0.9886
chr1_7351991_7429435	chr1	7351991	7429435	77444	183	191	11	10	2.363
chr1_7429435_7449624	chr1	7429435	7449624	20189	39	47	5	6	1.9317
chr1_7449624_7477070	chr1	7449624	7477070	27446	11	11	7	6	0.4008
chr1_7477070_7508211	chr1	7477070	7508211	31141	11	11	4	4	0.3532
chr1_7508211_7547445	chr1	7508211	7547445	39234	5	5	3	3	0.1274
chr1_7547445_7556533	chr1	7547445	7556533	9088	16	16	3	3	1.7606
chr1_7556533_7584742	chr1	7556533	7584742	28209	25	29	7	8	0.8862
chr1_7584742_7650389	chr1	7584742	7650389	65647	45	49	8	11	0.6855
chr1_7650389_7661288	chr1	7650389	7661288	10899	37	62	7	15	3.3948
