block_id	chrom	start	end	length_bp	n_positions	n_variant_alleles	n_scored	n_missing_avi	avi_max	avi_top10_mean	avi_top1_count	avi_top1_fraction	avi_top1_per_kb	avi_top1_mean	block_key	snv_input_rows	snv_duplicate_allele	snv_AC_zero	snv_observed_alleles	indel_input_rows	indel_duplicate_allele	indel_AC_zero	indel_observed_alleles	snv_observed_scored	snv_observed_missing_avi
chr22_23507389_23529638	chr22	23507389	23529638	22249	22249	66747	66747	0	25.12795	24.549458	546	0.0081801429	24.540429	21.376682	chr22:23507389-23529638	890	0	11	879	56	0	0	56	879	0
chr22_26245115_26270093	chr22	26245115	26270093	24978	24978	74934	74934	0	24.03341	23.609086	123	0.0016414445	4.9243334	21.214253	chr22:26245115-26270093	792	0	18	774	24	0	0	24	774	0
chr22_27020234_27031341	chr22	27020234	27031341	11107	11107	33321	33321	0	24.10786	23.679023	456	0.013685063	41.05519	21.282665	chr22:27020234-27031341	361	0	6	355	26	0	0	26	355	0
chr22_27396539_27435114	chr22	27396539	27435114	38575	38575	115725	115725	0	27.46762	26.512839	635	0.0054871463	16.461439	21.592827	chr22:27396539-27435114	1252	0	21	1231	62	0	1	61	1231	0
chr22_30383333_30440683	chr22	30383333	30440683	57350	57350	172050	172050	0	65.06578	55.546981	6776	0.0393839	118.1517	24.842746	chr22:30383333-30440683	1408	0	29	1379	83	0	2	81	1379	0
chr22_33827023_33873503	chr22	33827023	33873503	46480	46480	139440	139440	0	25.94109	25.329445	488	0.0034997131	10.499139	21.601857	chr22:33827023-33873503	1475	0	29	1446	83	0	1	82	1446	0
chr22_36238986_36271022	chr22	36238986	36271022	32036	32036	96108	96108	0	70.91432	59.013162	1168	0.012152995	36.458984	24.050846	chr22:36238986-36271022	1007	0	14	993	50	0	0	50	993	0
chr22_37075250_37101553	chr22	37075250	37101553	26303	26303	78909	78909	0	55.52159	46.206089	2246	0.028463166	85.389499	24.626501	chr22:37075250-37101553	879	0	19	860	65	0	0	65	860	0
chr22_44303006_44307622	chr22	44303006	44307622	4616	4616	13848	13848	0	26.16404	23.355581	12	0.00086655113	2.5996534	22.904719	chr22:44303006-44307622	202	0	3	199	6	0	0	6	199	0
chr22_44791710_44821141	chr22	44791710	44821141	29431	29431	88293	88293	0	55.82732	39.980314	591	0.0066936224	20.080867	24.443207	chr22:44791710-44821141	1097	0	19	1078	96	0	3	93	1078	0
chr22_46418842_46438932	chr22	46418842	46438932	20090	20090	60270	60270	0	48.06233	41.510775	640	0.010618882	31.856645	24.579474	chr22:46418842-46438932	845	0	12	833	74	0	2	72	833	0
chr22_49264062_49281800	chr22	49264062	49281800	17738	17738	53214	53214	0	21.69989	20.081905	5	9.3960236e-05	0.28188071	20.593552	chr22:49264062-49281800	718	0	15	703	38	0	1	37	703	0
