block_id	chrom	start	end	n_observed	n_observed_scored	n_missing_avi	n_possible_scored	n_possible_top1	observed_top1	expected_top1	observed_expected_ratio
chr22_23507389_23529638	chr22	23507389	23529638	879	879	0	66747	546	5	7.190345633511619	0.6953768643188438
chr22_26245115_26270093	chr22	26245115	26270093	774	774	0	74934	123	2	1.2704780206581792	1.5742106258271886
chr22_27020234_27031341	chr22	27020234	27031341	355	355	0	33321	456	6	4.8581975330872424	1.2350259451445516
chr22_27396539_27435114	chr22	27396539	27435114	1231	1231	0	115725	635	3	6.754677036076907	0.44413670468283256
chr22_30383333_30440683	chr22	30383333	30440683	1379	1379	0	172050	6776	39	54.31039814007556	0.7180945331944079
chr22_33827023_33873503	chr22	33827023	33873503	1446	1446	0	139440	488	2	5.0605851979345955	0.3952112101217604
chr22_36238986_36271022	chr22	36238986	36271022	993	993	0	96108	1168	8	12.067923585965788	0.6629143732152465
chr22_37075250_37101553	chr22	37075250	37101553	860	860	0	78909	2246	25	24.478323131708677	1.0213117894344468
chr22_44303006_44307622	chr22	44303006	44307622	199	199	0	13848	12	1	0.17244367417677642	5.798994974874372
chr22_44791710_44821141	chr22	44791710	44821141	1078	1078	0	88293	591	3	7.215724915904998	0.4157586430972943
chr22_46418842_46438932	chr22	46418842	46438932	833	833	0	60270	640	9	8.845528455284553	1.0174632352941175
chr22_49264062_49281800	chr22	49264062	49281800	703	703	0	53214	5	0	0.06605404592776337	0.0
